event_id,timestamp,source_type,src_ip,dst_ip,protocol,url,url_length,url_has_ip,url_has_at_symbol,url_has_redirect,url_class,url_risk_score,file_type,file_size_kb,file_entropy,file_class,malware_risk_score,process_count,failed_logins,packets,bytes_in,bytes_out,network_activity,network_anomaly_score,unusual_login,large_outbound_transfer,attack_detected,possible_data_exfiltration,abnormal_activity,severity,incident_type,threat_tactic,human_approval_required,recommended_action
EVT-000001,2026-01-01 00:00:00,email,10.0.75.89,172.16.27.243,HTTPS,https://example-safe.test/login,92,0,0,0,benign,0.045,none,571,4.31,benign,0.085,58,1,470,61945,23153,ddos,0.96,0,0,1,0,1,high,network_attack,Discovery,1,Block suspicious indicator for analyst review
EVT-000002,2026-01-01 00:15:00,server,10.0.116.197,172.16.114.250,DNS,https://example-safe.test/download,46,0,0,0,suspicious,0.535,pdf,49847,5.764,benign,0.0,93,1,2708,5564,7265,normal,0.052,0,0,1,0,0,medium,malicious_url,Discovery,1,Increase monitoring
EVT-000003,2026-01-01 00:30:00,endpoint,10.0.254.204,172.16.45.169,HTTP,https://example-safe.test/home,24,0,0,0,malicious,0.985,none,23691,7.495,benign,0.076,42,2,3728,45238,80038,normal,0.071,0,1,1,0,0,medium,malicious_url,Initial Access,1,Increase monitoring
EVT-000004,2026-01-01 00:45:00,email,10.0.247.30,172.16.244.90,HTTPS,https://example-safe.test/verify,66,0,0,0,phishing,0.902,none,4555,7.774,suspicious,0.587,51,0,1077,66096,90053,dos,0.912,0,1,1,1,1,critical,possible_data_exfiltration,Initial Access,1,Isolate endpoint and investigate transfer
EVT-000005,2026-01-01 01:00:00,email,10.0.155.43,172.16.28.182,DNS,https://example-safe.test/login,82,0,0,0,benign,0.087,js,31558,5.305,benign,0.048,22,2,1716,44978,44690,port_scan,0.702,0,0,1,0,1,medium,network_attack,Credential Access,1,Increase monitoring
EVT-000006,2026-01-01 01:15:00,email,10.0.133.20,172.16.32.217,DNS,https://example-safe.test/login,122,0,0,1,benign,0.063,zip,33419,3.061,malicious,0.985,68,3,3259,57426,81674,ddos,0.981,0,1,1,1,1,critical,possible_data_exfiltration,Execution,1,Isolate endpoint and investigate transfer
EVT-000007,2026-01-01 01:30:00,network,10.0.52.21,172.16.53.71,HTTP,https://example-safe.test/verify,24,0,1,0,benign,0.03,doc,30082,7.558,benign,0.087,78,0,2400,15326,27569,data_exfiltration,0.939,0,0,1,1,1,critical,possible_data_exfiltration,Exfiltration,1,Isolate endpoint and investigate transfer
EVT-000008,2026-01-01 01:45:00,network,10.0.131.41,172.16.252.30,HTTPS,https://example-safe.test/download,31,0,0,0,suspicious,0.485,pdf,28157,4.882,suspicious,0.597,74,2,3653,7692,9107,normal,0.036,0,0,1,0,0,medium,malware_activity,Discovery,1,Increase monitoring
EVT-000009,2026-01-01 02:00:00,email,10.0.124.242,172.16.53.159,HTTP,https://example-safe.test/update,33,0,0,0,phishing,0.837,js,31272,4.167,malicious,1.0,22,2,637,24938,41171,ddos,0.983,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000010,2026-01-01 02:15:00,email,10.0.192.108,172.16.140.9,UDP,https://example-safe.test/update,116,0,0,0,malicious,0.945,exe,17592,2.857,malicious,0.93,110,1,142,16372,20879,normal,0.036,0,0,1,0,0,medium,malware_activity,Initial Access,1,Increase monitoring
EVT-000011,2026-01-01 02:30:00,endpoint,10.0.247.196,172.16.226.67,TCP,https://example-safe.test/home,33,0,0,0,benign,0.083,dll,20845,7.482,malicious,0.927,62,1,4454,8958,29203,normal,0.083,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000012,2026-01-01 02:45:00,endpoint,10.0.216.199,172.16.165.114,TCP,https://example-safe.test/home,102,0,0,0,suspicious,0.581,zip,3654,7.794,malicious,0.961,109,3,4234,10308,69864,normal,0.028,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000013,2026-01-01 03:00:00,server,10.0.152.52,172.16.156.238,UDP,https://example-safe.test/update,30,0,0,1,malicious,0.95,js,32145,7.781,malicious,0.923,40,0,744,36462,32966,normal,0.057,0,0,1,0,0,medium,malware_activity,Initial Access,1,Increase monitoring
EVT-000014,2026-01-01 03:15:00,server,10.0.203.2,172.16.214.154,HTTPS,https://example-safe.test/update,99,0,0,0,benign,0.07,exe,5879,4.783,benign,0.024,15,3,1106,65500,56646,normal,0.015,0,0,0,0,0,low,normal_activity,Discovery,1,No immediate action
EVT-000015,2026-01-01 03:30:00,network,10.0.247.44,172.16.83.149,HTTP,https://example-safe.test/home,46,0,0,0,benign,0.016,exe,27142,7.112,suspicious,0.584,9,3,890,81900,68525,normal,0.064,0,0,1,0,0,medium,malware_activity,Discovery,1,Increase monitoring
EVT-000016,2026-01-01 03:45:00,browser,10.0.41.70,172.16.101.10,TCP,https://example-safe.test/login,102,0,0,0,benign,0.081,js,29373,6.216,benign,0.053,51,1,538,27851,87799,infiltration,0.955,0,1,1,1,1,critical,possible_data_exfiltration,Exfiltration,1,Isolate endpoint and investigate transfer
